year,decade_year,peak_week_id,peak_ili_percent,average_wili_percent,peak_vs_avg_diff
2020,2020,202001,7.13863,1.8131246981132074,5.325505301886793
2021,2020,202152,2.68772,1.0538401346153845,1.6338798653846156
2022,2020,202247,12.9332,2.751608,10.181591999999998
2023,2020,202352,3.91859,1.4103662692307692,2.508223730769231
2024,2020,202452,6.61882,1.588272,5.0305480000000005
